_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
152,2777,260,"bornean agile gibbon, bornean whitebearded gibbon",Hylobates,Hylobatidae,dwarf gibbon; mentawai gibbon; klosss gibbon ,Hylobates ,Hylobatidae
153,2777,489,"bornean agile gibbon, bornean whitebearded gibbon",Hylobates,Hylobatidae,lar gibbon; whitehanded gibbon ,Hylobates ,Hylobatidae
154,2777,490,"bornean agile gibbon, bornean whitebearded gibbon",Hylobates,Hylobatidae,lar gibbon; whitehanded gibbon ,Hylobates ,Hylobatidae
155,2783,109,"varied capuchin, varied whitefronted capuchin",Cebus,Cebidae,robust tufted capuchin; crested capuchin ,Cebus ,Cebidae
156,2783,815,"varied capuchin, varied whitefronted capuchin",Cebus,Cebidae,buffheaded capuchin; buffyheaded capuchin; goldenbellied capuchin; yellowbreasted capuchin ,Cebus ,Cebidae
157,2783,816,"varied capuchin, varied whitefronted capuchin",Cebus,Cebidae,buffheaded capuchin; buffyheaded capuchin; goldenbellied capuchin; yellowbreasted capuchin ,Cebus ,Cebidae
158,2806,314,murray hardyhead,Craterocephalus,Atherinidae,craterocephalus fluviatillis; murray hardyhead ,Craterocephalus ,Atherinidae
159,2806,315,murray hardyhead,Craterocephalus,Atherinidae,craterocephalus fluviatillis; murray hardyhead ,Craterocephalus ,Atherinidae
160,2816,109,santa marta whitefronted capuchin,Cebus,Cebidae,robust tufted capuchin; crested capuchin ,Cebus ,Cebidae
161,2816,815,santa marta whitefronted capuchin,Cebus,Cebidae,buffheaded capuchin; buffyheaded capuchin; goldenbellied capuchin; yellowbreasted capuchin ,Cebus ,Cebidae
162,2816,816,santa marta whitefronted capuchin,Cebus,Cebidae,buffheaded capuchin; buffyheaded capuchin; goldenbellied capuchin; yellowbreasted capuchin ,Cebus ,Cebidae
163,2845,84,"tarella shrew, ugandan shrew",Crocidura,Soricidae,canary shrew; canarian shrew ,Crocidura ,Soricidae
164,2845,401,"tarella shrew, ugandan shrew",Crocidura,Soricidae,sao tom shrew; so tom shrew; sao tome shrew ,Crocidura ,Soricidae
165,2846,59,"blackfaced black spider monkey, chamek spider monkey, peruvian black spider monkey, peruvian spider monkey",Ateles,Atelidae,central american spider monkey; geoffroys spider monkey; mono colorado; panama spider monkey; red spider monkey; blackhanded spider monkey ,Ateles ,Atelidae
166,2846,60,"blackfaced black spider monkey, chamek spider monkey, peruvian black spider monkey, peruvian spider monkey",Ateles,Atelidae,central american spider monkey; geoffroys spider monkey; mono colorado; panama spider monkey; red spider monkey; blackhanded spider monkey ,Ateles ,Atelidae
